Area Schedule (PROPOSTA 01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Comments,Name,Number,Perimeter,QUADRA,TIPO DE MACROÁREA,% MÍNIMO,Acréscimo de Área,Area Type,Count,Export to IFC,Export to IFC As,IFC Predefined Type,IfcGUID,Image,Level,P_Purge em DataBase,P_Transformar em Floor,P_Transformar em SHP,P_Verificar Arredondamento,P_Área de Projeto,01.NATUREZA,02.LOTE,03.ZONEAMENTO,04.ÁREA DE LOTE,05.ÁREA REMANESCENTE,06.PERDA POR ATINGIMENTO VIÁRIO,07.COEFICIENTE DE APROVEITAMENTO,08.C.A. RESTANTE,09.ÁREA CONSTRUÍVEL RESTANTE,10.ÁREA CONSTRUÍVEL DO ÍNDICE,11.ÁREA CONSUMIDA DO C.A.,12.ÁREA CONSTRUÍDA TOTAL,13.ÁREA CONSTRUÍDA ABERTA,14.ÁREA CONSTRUÍDA FECHADA,15.ÁREA PRIVATIVA TOTAL,16.PAVIMENTOS TOTAIS,17.ÁREA INDIVIDUAL PAV. SUBSOLO,18.ÁREA INDIVIDUAL PAV. BASE,19.ÁREA INDIVIDUAL PAV. BASE DIFERENCIADO,20.ÁREA INDIVIDUAL PAV. TORRE,21.ÁREA INDIVIDUAL PAV. ÁTICO,22.ÁREA SOMADA PAVIMENTOS SUBSOLOS,23.ÁREA SOMADA PAVIMENTOS BASE,24.ÁREA SOMADA PAVIMENTOS TORRE,25.ÁREA TOTAL INDEFINIDA,26.ÁREA TOTAL COMERCIAL,27.ÁREA TOTAL ESTACIONAMENTO,28.ÁREA TOTAL RESIDENCIAL,29.ÁREA TOTAL DE LAZER,30.ÁREA TOTAL TÉCNICA,31.ÁREA ABERTA TOTAL INDEFINIDA,32.ÁREA ABERTA TOTAL COMERCIAL,33.ÁREA ABERTA TOTAL ESTACIONAMENTO,34.ÁREA ABERTA TOTAL RESIDENCIAL,35.ÁREA ABERTA TOTAL LAZER,36.ÁREA ABERTA TOTAL TÉCNICA,37.ÁREA TOTAL RESIDENCIAL PRIVATIVA,38.ÁREA TOTAL COMERCIAL PRIVATIVA,39.TOTAL DE UNIDADES,40.ÁREA DAS UNIDADES,41.VAGAS PARA X/m² DE COMÉRCIO,42.DEMANDA - VAGAS DE COMÉRCIO,43.VAGAS POR UNIDADE,44.DEMANDA - VAGAS PARA RESIDENCIAL,45.VAGAS PARA UNIDADES VISITANTES,46.VAGAS TOTAIS DEMANDA,47.TOTAL DE VAGAS,48.CAMPO RESERVA A,49.CAMPO RESERVA B,50.CAMPO RESERVA C,51.CAMPO RESERVA D,52.CAMPO RESERVA E,53.C.A. UTILIZADO,54.PERCENTUAL PRIVATIVO FECHADO DO TERRENO,55.PERCENTUAL PRIVATIVO FECHADO DA AREA CONSTRUIDA,56.PERCENTUAL FECHADO DO INDEFINIDO,57.PERCENTUAL FECHADO DO COMERCIAL,58.PERCENTUAL FECHADO DO ESTACIONAMENTO,59.PERCENTUAL FECHADO DO RESIDENCIAL,60.PERCENTUAL FECHADO DO LAZER,61.PERCENTUAL FECHADO DO TÉCNICO,62.TO SUBSOLO LIMITE,63.TO BASE LIMITE,64.TO TORRE LIMITE,65.TO SUBSOLO PROJETO,66.TO BASE PROJETO,67.TO TORRE PROJETO,68.PERCENTUAL PRIVATIVO RES DO PRIVATIVO,69.PERCENTUAL PRIVATIVO COMERCIAL DO PRIVATIVO,70.AREA INDEFINIDA ABERTA E FECHADA,71.AREA COMERCIAL ABERTA E FECHADA,72.AREA ESTACIONAMENTO ABERTA E FECHADA,73.AREA RESIDENCIAL ABERTA E FECHADA,74.AREA LAZER ABERTA E FECHADA,75.AREA TECNICA ABERTA E FECHADA,_VÉRTICES,VIAS_02.NOME,VIAS_03.TIPO DE VIA,VIAS_04.RUA,VIAS_05.RUA PROJETADA,VIAS_06.CALÇADA,VIAS_07.CALÇADA PROJETADA,VIAS_08.RUA ÁREA VERDE,VIAS_09.RUA PAVIMENTAÇÃO,VIAS_10.RUA MEIO-FIO,VIAS_11.RUA PROJETADA ÁREA VERDE,VIAS_12.RUA PROJETADA PAVIMENTAÇÃO,VIAS_13.RUA PROJETADA MEIO-FIO,VIAS_14.CALÇADA ÁREA VERDE,VIAS_15.CALÇADA PAVIMENTAÇÃO,VIAS_16.CALÇADA MEIO-FIO,VIAS_17.CALÇADA PROJETADA ÁREA VERDE,VIAS_18.CALÇADA PROJETADA PAVIMENTAÇÃO,VIAS_19.CALÇADA PROJETADA MEIO-FIO,VIAS_20._CICLOVIA ÁREA,VIAS_21._CICLOVIA ÁREA PROJETADA,VIAS_22._ONIBUS ÁREA,VIAS_23._ONIBUS ÁREA PROJETADA,VIAS_24._VLT ÁREA,VIAS_25._VLT ÁREA PROJETADA,VIAS_26._ESTACIONAMENTO ÁREA,VIAS_27._ESTACIONAMENTO ÁREA PROJETADA,VIAS_28.__CAMPO RESERVA VIA A,VIAS_29.__CAMPO RESERVA VIA B,VIAS_30.__CAMPO RESERVA VIA C,VIAS_31.__CAMPO RESERVA VIA D,VIAS_32.__CAMPO RESERVA VIA E,VIAS_33.CALCADA AREA ASFALTAVEL,VIAS_34.CALCADA PROJETADA AREA ASFALTAVEL,VIAS_35.RUA AREA ASFALTAVEL,VIAS_36.RUA PROJETADA AREA ASFALTAVEL,VIAS_37.VIA,VIAS_38.VIA AREA VERDE,VIAS_39.VIA ASFALTAVEL,VIAS_40.VIA MEIO FIO,VIAS_41.VIA PAVIMENTACAO,VIAS_42.VIA PROJETADA,VIAS_43.VIA PROJETADA AREA ASFALTAVEL,VIAS_44.VIA PROJETADA AREA VERDE,VIAS_45.VIA PROJETADA MEIO FIO,VIAS_46.VIA PROJETADA PAVIMENTACAO,VIAS_47.PERCENTUAL DE AREA ASFALTAVEL,VIAS_48.PERCENTUAL DE AREA VERDE,VIAS_49.PERCENTUAL DE CALCADA,VIAS_50.PERCENTUAL DE MEIO FIO,VIAS_51.PERCENTUAL DE PAVIMENTACAO,VIAS_52.PERCENTUAL DE RUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725.62 m²,LOTE,L-001,,327.47,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NU,,Level 1,,,No,,Yes,Lote,L-001,Z0,3725.57 m²,3725.58 m²,0.00 m²,0.01,0,0.00 m²,37.26 m²,37.25 m²,85.25 m²,0.00 m²,85.25 m²,31.67 m²,1,0.00 m²,37.25 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,37.25 m²,0.00 m²,0.00 m²,37.25 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,31.67 m²,0,0.00 m²,40.00 m²,1,1,0,0,1,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.01,0.849965,37.143113,0,43.69778,0,0,0,56.30222,1,1,1,0,0.999958,0,0,100,0.00 m²,37.25 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380.60 m²,LOTE,L-002,,341.28,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NH,,Level 1,,,No,,Yes,Lote,L-002,Z7,2380.59 m²,2380.59 m²,0.00 m²,0.05,0.046486,110.66 m²,119.03 m²,8.37 m²,56.37 m²,0.00 m²,56.37 m²,7.11 m²,1,0.00 m²,8.37 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,8.37 m²,0.00 m²,0.00 m²,8.37 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,7.11 m²,0,0.00 m²,40.00 m²,1,1,0,0,1,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.003514,0.298684,12.61492,0,14.841082,0,0,0,85.158918,3,3,3,0,0.351393,0,0,100,0.00 m²,8.37 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711.19 m²,LOTE,L-003,,173.96,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NG,,Level 1,,,No,,Yes,Lote,L-003,Z7,1711.19 m²,1711.19 m²,0.00 m²,0.52,0.259999,444.91 m²,889.82 m²,444.91 m²,492.91 m²,0.00 m²,492.91 m²,378.18 m²,1,0.00 m²,444.91 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,444.91 m²,0.00 m²,0.00 m²,444.91 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,378.18 m²,0,0.00 m²,40.00 m²,10,1,0,0,10,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.260001,22.100112,76.722663,0,90.261957,0,0,0,9.738043,26,26,26,0,26.000128,0,0,100,0.00 m²,444.91 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360.25 m²,LOTE,L-004,,239.03,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NJ,,Level 1,,,Yes,,Yes,Lote,L-004,Z8,3360.26 m²,3360.26 m²,0.00 m²,0.04,0.02,67.20 m²,134.41 m²,67.21 m²,115.21 m²,0.00 m²,115.21 m²,57.13 m²,1,0.00 m²,67.21 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,67.21 m²,0.00 m²,0.00 m²,67.21 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,57.13 m²,0,0.00 m²,40.00 m²,2,1,0,0,2,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.02,1.70002,49.58518,0,58.335506,0,0,0,41.664494,2,2,2,0,2.000023,0,0,100,0.00 m²,67.21 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26102.55 m²,LOTE,L-005,,853.86,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NI,,Level 1,,,Yes,,Yes,Lote,L-005,Z8,26102.61 m²,26102.61 m²,0.00 m²,0.42,0.13,3393.34 m²,10963.10 m²,7569.76 m²,7617.76 m²,0.00 m²,7617.76 m²,6434.29 m²,1,0.00 m²,7569.76 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,7569.76 m²,0.00 m²,0.00 m²,7569.76 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,6434.29 m²,0,0.00 m²,40.00 m²,161,1,0,0,161,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.29,24.650003,84.464409,0,99.369893,0,0,0,0.630107,29,29,29,0,29,0,0,100,0.00 m²,7569.76 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8521.18 m²,LOTE,L-006,,940.53,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NL,,Level 1,,,No,,Yes,Lote,L-006,Z7,8521.27 m²,8521.27 m²,0.01 m²,0.05,0,0.00 m²,426.06 m²,426.06 m²,474.06 m²,0.00 m²,474.06 m²,362.15 m²,1,0.00 m²,0.00 m²,426.06 m²,0.00 m²,0.00 m²,0.00 m²,426.06 m²,0.00 m²,0.00 m²,426.06 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,362.15 m²,0,0.00 m²,40.00 m²,10,1,0,0,10,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.05,4.250008,76.393576,0,89.874796,0,0,0,10.125204,5,5,5,0,0,0,0,100,0.00 m²,426.06 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9294.85 m²,LOTE,L-007,,531.37,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NK,,Level 1,,,No,,Yes,Lote,L-007,Z1,9294.85 m²,9294.86 m²,-0.01 m²,0.73,0.0485,450.80 m²,6785.24 m²,6334.44 m²,8134.51 m²,1752.07 m²,6382.43 m²,5384.27 m²,2,0.00 m²,2695.50 m²,0.00 m²,2695.51 m²,943.43 m²,0.00 m²,2695.50 m²,2695.51 m²,0.00 m²,6334.43 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,1752.07 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,5384.27 m²,0,0.00 m²,40.00 m²,135,1,0,0,135,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.6815,57.927452,84.360745,0,99.247936,0,0,0,0.752064,29,29,29,0,28.999938,29,0,100,0.00 m²,8086.51 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4741.06 m²,LOTE,L-008,,329.48,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NN,,Level 1,,,No,,Yes,Lote,L-008,Z2,4741.09 m²,4741.09 m²,0.00 m²,2.01,0.369981,1754.11 m²,9529.60 m²,7775.48 m²,9767.24 m²,1943.75 m²,7823.48 m²,6609.16 m²,4,0.00 m²,1943.85 m²,0.00 m²,1943.85 m²,0.09 m²,0.00 m²,1943.85 m²,5831.54 m²,0.00 m²,7775.48 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,1943.75 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,6609.16 m²,0,0.00 m²,40.00 m²,166,1,0,0,166,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,1.640019,139.401597,84.478493,0,99.386462,0,0,0,0.613538,41,41,41,0,40.999978,41,0,100,0.00 m²,9719.24 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097.13 m²,LOTE,L-009,,146.13,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0NM,,Level 1,,,No,,Yes,Lote,L-009,Z7,1097.16 m²,1097.16 m²,0.00 m²,0.27,0,0.00 m²,296.23 m²,296.23 m²,344.24 m²,0.00 m²,344.24 m²,251.80 m²,1,0.00 m²,0.00 m²,296.23 m²,0.00 m²,0.00 m²,0.00 m²,296.23 m²,0.00 m²,0.00 m²,296.24 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,251.80 m²,0,0.00 m²,40.00 m²,7,1,0,0,7,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.27,22.950148,73.147645,0,86.056053,0,0,0,13.943947,27,27,27,0,0,0,0,100,0.00 m²,296.24 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
